time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-12-06T01:06:39.651Z,-18.2335,-178.5343,538.4,4.5,mb,,115,3.923,0.78,us,us6000g9da,2022-02-12T23:06:08.040Z,"228 km E of Levuka, Fiji",earthquake,13.1,3.6,0.101,29,reviewed,us,us
2021-12-06T01:29:58.404Z,-8.6559,160.3416,47.19,4.4,mb,,79,0.869,0.91,us,us6000gb5c,2022-02-12T23:07:26.040Z,"41 km WNW of Auki, Solomon Islands",earthquake,5.7,6.9,0.123,19,reviewed,us,us
2021-12-06T04:19:45.443Z,-28.8418,-175.8951,10.93,5.6,mww,,56,1.821,0.92,us,us6000g9e3,2022-02-12T23:06:09.040Z,"Kermadec Islands region",earthquake,9.3,3.1,0.069,20,reviewed,us,us
2021-12-06T10:47:46.921Z,-18.0756,-177.9243,555.54,4.1,mb,,123,3.844,0.93,us,us6000gb5r,2022-02-12T23:07:27.040Z,"292 km E of Levuka, Fiji",earthquake,9.8,6.8,0.094,31,reviewed,us,us
2021-12-06T14:21:33.668Z,-27.675,-176.9454,85.91,4.8,mb,,61,1.799,0.58,us,us6000g9h0,2022-02-12T23:06:14.040Z,"Kermadec Islands region",earthquake,9.1,6.6,0.077,59,reviewed,us,us
2021-12-06T18:39:54.799Z,-29.496,-176.8205,10,4.8,mb,,126,0.987,0.89,us,us6000gb5x,2022-02-12T23:07:27.040Z,"Kermadec Islands region",earthquake,9.2,1.8,0.321,5,reviewed,us,us
2021-12-06T19:23:53.663Z,-23.8801,-175.1758,10,4.6,mb,,138,5.896,0.86,us,us6000gb5z,2022-02-12T23:07:28.040Z,"282 km S of ‘Ohonua, Tonga",earthquake,6.5,1.9,0.193,11,reviewed,us,us
2021-12-06T19:39:19.497Z,-12.2708,166.0953,10,4.7,mb,,142,3.335,0.78,us,us6000gb60,2022-02-12T23:07:28.040Z,"174 km S of Lata, Solomon Islands",earthquake,10,1.8,0.112,24,reviewed,us,us
2021-12-07T00:13:06.085Z,-19.1822,-175.1131,88.69,4.7,mb,,79,5.638,1.04,us,us6000g9w4,2022-02-12T23:06:17.040Z,"106 km NW of Pangai, Tonga",earthquake,11,6.9,0.106,27,reviewed,us,us
2021-12-07T02:49:25.145Z,-32.909,-178.0578,10,4.1,mb,,137,3.637,0.65,us,us6000gb7d,2022-02-12T23:07:30.040Z,"south of the Kermadec Islands",earthquake,12,1.9,0.175,9,reviewed,us,us
