datetime,TEMP,TEMP long_name,TEMP Unit,DOX1,DOX1 long_name,DOX1 Unit,PSAL,PSAL long_name,PSAL Unit,PHOS,PHOS long_name,PHOS Unit,PHOW,PHOW long_name,PHOW Unit,NTRA,NTRA long_name,NTRA Unit,DOXY,DOXY long_name,DOXY Unit,SLCA,SLCA long_name,SLCA Unit,CPHL,CPHL long_name,CPHL Unit,DOX2,DOX2 long_name,DOX2 Unit,SLCW,SLCW long_name,SLCW Unit,CHLT,CHLT long_name,CHLT Unit,FLU2,FLU2 long_name,FLU2 Unit,NTAW,NTAW long_name,NTAW Unit,NTRI,NTRI long_name,NTRI Unit,NTIW,NTIW long_name,NTIW Unit,NTRZ,NTRZ long_name,NTRZ Unit,AMON,AMON long_name,AMON Unit,NODW,NODW long_name,NODW Unit,PHPH,PHPH long_name,PHPH Unit,WSPD,WSPD long_name,WSPD Unit,WDIR,WDIR long_name,WDIR Unit,DRYT,DRYT long_name,DRYT Unit,PRRT,PRRT long_name,PRRT Unit,PRRD,PRRD long_name,PRRD Unit,platform_code,PRES,DEPTH,LONGITUDE,LATITUDE,dataset_id
2021-11-24 22:47:00,27.628,Sea temperature,degrees_C,,,,34.928,Practical salinity,0.001,,,,,,,,,,,,,,,,0.0,Chlorophyll-a,mg m-3,,Dissolved oxygen,µmol kg-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6903025,4.3,,-179.2634,-22.2277,16735
2021-11-24 22:47:00,27.626,Sea temperature,degrees_C,,,,34.928,Practical salinity,0.001,,,,,,,,,,,,,,,,0.0073,Chlorophyll-a,mg m-3,,Dissolved oxygen,µmol kg-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6903025,4.4,,-179.2634,-22.2277,16735
2021-11-24 22:47:00,27.624,Sea temperature,degrees_C,,,,34.928,Practical salinity,0.001,,,,,,,,,,,,,,,,-0.0073,Chlorophyll-a,mg m-3,,Dissolved oxygen,µmol kg-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6903025,4.5,,-179.2634,-22.2277,16735
2021-11-24 22:47:00,27.622,Sea temperature,degrees_C,,,,34.9276,Practical salinity,0.001,,,,,,,,,,,,,,,,0.0,Chlorophyll-a,mg m-3,,Dissolved oxygen,µmol kg-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6903025,4.6,,-179.2634,-22.2277,16735
2021-11-24 22:47:00,27.619,Sea temperature,degrees_C,,,,34.9272,Practical salinity,0.001,,,,,,,,,,,,,,,,-0.0073,Chlorophyll-a,mg m-3,,Dissolved oxygen,µmol kg-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6903025,4.7,,-179.2634,-22.2277,16735
2021-11-24 22:47:00,27.617,Sea temperature,degrees_C,,,,34.9268,Practical salinity,0.001,,,,,,,,,,,,,,,,-0.0146,Chlorophyll-a,mg m-3,190.758,Dissolved oxygen,µmol kg-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6903025,4.8,,-179.2634,-22.2277,16735
2021-11-24 22:47:00,27.614,Sea temperature,degrees_C,,,,34.9264,Practical salinity,0.001,,,,,,,,,,,,,,,,-0.0073,Chlorophyll-a,mg m-3,,Dissolved oxygen,µmol kg-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6903025,4.9,,-179.2634,-22.2277,16735
2021-11-24 22:47:00,27.609,Sea temperature,degrees_C,,,,34.9256,Practical salinity,0.001,,,,,,,,,,,,,,,,0.0073,Chlorophyll-a,mg m-3,,Dissolved oxygen,µmol kg-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6903025,5.1,,-179.2634,-22.2277,16735
2021-11-24 22:47:00,27.604,Sea temperature,degrees_C,,,,34.9248,Practical salinity,0.001,,,,,,,,,,,,,,,,-0.0073,Chlorophyll-a,mg m-3,190.922,Dissolved oxygen,µmol kg-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6903025,5.3,,-179.2634,-22.2277,16735
2021-11-24 22:47:00,27.602,Sea temperature,degrees_C,,,,34.9244,Practical salinity,0.001,,,,,,,,,,,,,,,,-0.0073,Chlorophyll-a,mg m-3,,Dissolved oxygen,µmol kg-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6903025,5.4,,-179.2634,-22.2277,16735
2021-11-24 22:47:00,27.599,Sea temperature,degrees_C,,,,34.924,Practical salinity,0.001,,,,,,,,,,,,,,,,0.0,Chlorophyll-a,mg m-3,,Dissolved oxygen,µmol kg-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6903025,5.5,,-179.2634,-22.2277,16735
2021-11-24 22:47:00,27.592,Sea temperature,degrees_C,,,,34.9223,Practical salinity,0.001,,,,,,,,,,,,,,,,-0.0073,Chlorophyll-a,mg m-3,,Dissolved oxygen,µmol kg-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6903025,5.6,,-179.2634,-22.2277,16735
2021-11-24 22:47:00,27.578,Sea temperature,degrees_C,,,,34.9189,Practical salinity,0.001,,,,,,,,,,,,,,,,0.0073,Chlorophyll-a,mg m-3,,Dissolved oxygen,µmol kg-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6903025,5.8,,-179.2634,-22.2277,16735
2021-11-24 22:47:00,27.571,Sea temperature,degrees_C,,,,34.9172,Practical salinity,0.001,,,,,,,,,,,,,,,,-0.0073,Chlorophyll-a,mg m-3,191.225,Dissolved oxygen,µmol kg-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6903025,5.9,,-179.2634,-22.2277,16735
2021-11-24 22:47:00,27.565,Sea temperature,degrees_C,,,,34.9155,Practical salinity,0.001,,,,,,,,,,,,,,,,0.0,Chlorophyll-a,mg m-3,,Dissolved oxygen,µmol kg-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6903025,6.0,,-179.2634,-22.2277,16735
2021-11-24 22:47:00,27.551,Sea temperature,degrees_C,,,,34.9121,Practical salinity,0.001,,,,,,,,,,,,,,,,-0.0073,Chlorophyll-a,mg m-3,,Dissolved oxygen,µmol kg-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6903025,6.2,,-179.2634,-22.2277,16735
2021-11-24 22:47:00,27.544,Sea temperature,degrees_C,,,,34.9104,Practical salinity,0.001,,,,,,,,,,,,,,,,-0.0073,Chlorophyll-a,mg m-3,,Dissolved oxygen,µmol kg-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6903025,6.3,,-179.2634,-22.2277,16735
2021-11-24 22:47:00,27.537,Sea temperature,degrees_C,,,,34.9087,Practical salinity,0.001,,,,,,,,,,,,,,,,-0.0073,Chlorophyll-a,mg m-3,,Dissolved oxygen,µmol kg-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6903025,6.4,,-179.2634,-22.2277,16735
2021-11-24 22:47:00,27.53,Sea temperature,degrees_C,,,,34.907,Practical salinity,0.001,,,,,,,,,,,,,,,,0.0073,Chlorophyll-a,mg m-3,191.504,Dissolved oxygen,µmol kg-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6903025,6.5,,-179.2634,-22.2277,16735
2021-11-24 22:47:00,27.514,Sea temperature,degrees_C,,,,34.9043,Practical salinity,0.001,,,,,,,,,,,,,,,,-0.0073,Chlorophyll-a,mg m-3,,Dissolved oxygen,µmol kg-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6903025,6.6,,-179.2634,-22.2277,16735
2021-11-24 22:47:00,27.482,Sea temperature,degrees_C,,,,34.8989,Practical salinity,0.001,,,,,,,,,,,,,,,,-0.0073,Chlorophyll-a,mg m-3,,Dissolved oxygen,µmol kg-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6903025,6.8,,-179.2634,-22.2277,16735
2021-11-24 22:47:00,27.466,Sea temperature,degrees_C,,,,34.8962,Practical salinity,0.001,,,,,,,,,,,,,,,,-0.0146,Chlorophyll-a,mg m-3,,Dissolved oxygen,µmol kg-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6903025,6.9,,-179.2634,-22.2277,16735
